"","X","hashtags","Freq","Count"
"256",256,"podcast",0.00120536313599141,7183
"257",257,"pakistanday",0.0006260907504363,3731
"258",258,"plankthecurve",0.000763357497650691,4549
"259",259,"delhi",0.000908007786280038,5411
"260",260,"sindh",0.000620049671096792,3695
"261",261,"navyreadiness",0.000618035977983622,3683
"262",262,"navycapability",0.000617029131427037,3677
"263",263,"wfh",0.0012276815679957,7316
"264",264,"fightcovid19",0.00111726406229024,6658
"265",265,"ishayogacenter",0.000609813397771513,3634
"266",266,"hospitals",0.000909350248355484,5419
"267",267,"stayathomeorder",0.0013050409450933,7777
"268",268,"indiafightscoronavirus",0.00109108605181904,6502
"269",269,"chineseviruscorona",0.000980668546113572,5844
"270",270,"kag",0.00111457913813935,6642
"271",271,"music",0.00134581823063498,8020
"272",272,"rwanda",0.000701436434420728,4180
"273",273,"michigan",0.0008157135185931,4861
"274",274,"master",0.000585649080413478,3490
"275",275,"akshaykumar",0.000585481272654048,3489
"276",276,"workingfromhome",0.00121090079205262,7216
"277",277,"fauci",0.000829809370385287,4945
"278",278,"jellyfish",0.000582460732984293,3471
"279",279,"losangeleslockdown",0.000580111424352262,3457
"280",280,"tiktok",0.000866727077460062,5165
"281",281,"media",0.000975802121090079,5815
"282",282,"ventilator",0.000709994630151698,4231
"283",283,"coronavirusnewyork",0.00128020539669754,7629
"284",284,"quarentinelife",0.00106658611894214,6356
"285",285,"togetherathome",0.000715867901731776,4266
"286",286,"egypt",0.000679285810175862,4048
"287",287,"covidcanada",0.00103453483689086,6165
"288",288,"juniordoctors",0.000563666263928044,3359
"289",289,"karachi",0.000698583702510404,4163
"290",290,"dems",0.000557960800107397,3325
"291",291,"covidactnow",0.00130789367700362,7794
"292",292,"covid2019india",0.00124311988186334,7408
"293",293,"openwho",0.000555443683715935,3310
"294",294,"healthcareworkers",0.000916565982011008,5462
"295",295,"coronastopkarona",0.00127097596992885,7574
"296",296,"usarmy",0.000549066988857565,3272
"297",297,"covid19ireland",0.000852799033427306,5082
"298",298,"hubei",0.000548227950060411,3267
"299",299,"govcuomo",0.000546549872466103,3257
"300",300,"hope",0.00105349711370654,6278
"301",301,"insidertrading",0.000719391864679823,4287
"302",302,"boycottchina",0.000780809504631494,4653
"303",303,"covid19sa",0.00087058665592697,5188
"304",304,"covid19aus",0.00106020942408377,6318
"305",305,"coronainpakistan",0.000813028594442207,4845
"306",306,"boycotttrumppressconferences",0.000535810175862532,3193
"307",307,"police",0.000805812860786683,4802
"308",308,"community",0.00116257215733656,6928
"309",309,"cancer",0.000703953550812189,4195
"310",310,"leadership",0.00109612028460196,6532
"311",311,"jungkook",0.000525909518056115,3134
"312",312,"boris",0.000681635118807894,4062
"313",313,"karnataka",0.000626594173714593,3734
"314",314,"urbietorbi",0.000522888978386361,3116
"315",315,"toronto",0.000785675929654987,4682
"316",316,"medicareforall",0.00076520338300443,4560
"317",317,"anxiety",0.000932675526916365,5558
"318",318,"chinesecoronavirus",0.000844073029936904,5030
"319",319,"flattenthecuve",0.000775943079608001,4624
"320",320,"ccpchina",0.000669217344610015,3988
"321",321,"onpoli",0.000866223654181769,5162
"322",322,"iraq",0.000635655792723856,3788
"323",323,"tech",0.00082628540743724,4924
"324",324,"philippines",0.00064924822123775,3869
"325",325,"travel",0.00103705195328232,6180
"326",326,"government",0.00105265807490938,6273
"327",327,"tablighijamat",0.00049956369982548,2977
"328",328,"lockdownuk",0.000984863740099342,5869
"329",329,"fakenewsmedia",0.000669888575647738,3992
"330",330,"ghana",0.00061350516847899,3656
"331",331,"crisis",0.0009127064035441,5439
"332",332,"lockdownradio",0.000489327426500201,2916
"333",333,"corona",0.000600919586521681,3581
"334",334,"wheresdrfauci",0.000486810310108739,2901
"335",335,"chicago",0.000674251577392939,4018
"336",336,"iranian",0.000485300040273862,2892
"337",337,"pune",0.000597563431333065,3561
"338",338,"resist",0.000808497784937575,4818
"339",339,"lebanon",0.000591690159752987,3526
"340",340,"greece",0.000609645590012082,3633
"341",341,"savelives",0.000841220298026581,5013
"342",342,"qproof",0.000481104846288092,2867
"343",343,"princecharles",0.000663511880789368,3954
"344",344,"saturdaythoughts",0.000841555913545442,5015
"345",345,"sivakumar",0.000479930191972077,2860
"346",346,"selfquarantine",0.000989394549603974,5896
"347",347,"toiletpaper",0.000839374412672842,5002
"348",348,"inthistogether",0.000948952879581152,5655
"349",349,"factsnotfear",0.00047640622902403,2839
"350",350,"coronawarriors",0.000680628272251309,4056
"351",351,"education",0.000976976775406095,5822
"352",352,"seattle",0.000648409182440596,3864
"353",353,"againstcorona",0.000470868572962814,2806
"354",354,"outbreak",0.00106004161632434,6317
"355",355,"americans",0.000823432675526916,4907
"356",356,"ethiopia",0.000631796214256947,3765
"357",357,"food",0.000884850315478588,5273
"358",358,"airpeace",0.000466841186736475,2782
"359",359,"pressbriefing",0.000663847496308229,3956
"360",360,"congress",0.000797422472815143,4752
"361",361,"russian",0.00046365283930729,2763
"362",362,"earthhour",0.000461471338434689,2750
"363",363,"puertorico",0.000460464491878104,2744
"364",364,"assange",0.000457779567727212,2728
"365",365,"presidenttrump",0.0005797758088334,3455
"366",366,"selfemployed",0.00070613505168479,4208
"367",367,"trumppandemic",0.00115099342193583,6859
"368",368,"paris",0.000698080279232112,4160
"369",369,"mco",0.000450563834071687,2685
"370",370,"mexico",0.00058816619680494,3505
"371",371,"malaysialockdown",0.000448214525439656,2671
"372",372,"americafirst",0.000697409048194389,4156
"373",373,"lockdownsouthafrica",0.000582796348503155,3473
"374",374,"technology",0.00090632970868573,5401
"375",375,"quedateencasa",0.000628607866827762,3746
"376",376,"coronaviruspakistan",0.00085783326621023,5112
"377",377,"dontbeaspreader",0.000444187139213317,2647
"378",378,"moscowmitch",0.000601423009799973,3584
"379",379,"whitehousepressconference",0.000444019331453886,2646
"380",380,"beijing",0.000443515908175594,2643
"381",381,"ukraine",0.000549738219895288,3276
"382",382,"covid19updates",0.000442844677137871,2639
"383",383,"hyderabad",0.000544368371593503,3244
"384",384,"homeless",0.000611827090884682,3646
"385",385,"testing",0.000630453752181501,3757
"386",386,"nature",0.000731977446637132,4362
"387",387,"3dprinting",0.000611827090884682,3646
"388",388,"nba",0.000607967512417774,3623
"389",389,"amazon",0.00075043630017452,4472
"390",390,"coronapocalypse",0.000714022016378037,4255
"391",391,"coronaupdatesindia",0.000880822929252249,5249
"392",392,"humanrights",0.000640354409987918,3816
"393",393,"saferathome",0.000657470801449859,3918
"394",394,"nurse",0.000625587327158008,3728
"395",395,"bitcoin",0.000814371056517653,4853
"396",396,"nhsheroes",0.000798597127131159,4759
"397",397,"malaysiacovid19",0.00043009128742113,2563
"398",398,"pompeoresign",0.000429420056383407,2559
"399",399,"saudi",0.000555275875956504,3309
"400",400,"jantacurfewmarch22",0.000687004967109679,4094
"401",401,"tokyo2020",0.00060075177876225,3580
"402",402,"biden",0.000575077191569338,3427
"403",403,"healthyathome",0.000424721439119345,2531
"404",404,"quarantineandchill",0.000964559001208216,5748
"405",405,"chinesebioterrorism",0.000723754866425023,4313
"406",406,"indianarmy",0.000423546784803329,2524
"407",407,"staythefhome",0.000721908981071285,4302
"408",408,"smallbusiness",0.000863370922271446,5145
"409",409,"deborahbirx",0.000422707746006175,2519
"410",410,"influenza",0.000422204322727883,2516
"411",411,"free",0.000742717143240704,4426
"412",412,"bangladesh",0.000600583971002819,3579
"413",413,"google",0.000583131964022016,3475
"414",414,"kag2020",0.000659148879044167,3928
"415",415,"mondaymotivation",0.000790374546919049,4710
"416",416,"fightagainstcorona",0.000655289300577259,3905
"417",417,"mumbai",0.000625922942676869,3730
"418",418,"unitedstates",0.000729795945764532,4349
"419",419,"lockdownwithoutplan",0.000649416028997181,3870
"420",420,"trumppressconference",0.000796247818499127,4745
"421",421,"awaninews",0.000414149550275205,2468
"422",422,"foxandfriends",0.000413646126996912,2465
"423",423,"pmcaresfunds",0.000413478319237482,2464
"424",424,"staysafeug",0.000570378574305276,3399
"425",425,"ppeshortage",0.000830984024701302,4952
"426",426,"notdying4wallstreet",0.000736172640622902,4387
"427",427,"palestine",0.000516344475768559,3077
"428",428,"medical",0.000815042287555377,4857
"429",429,"ebola",0.000651597529869781,3883
"430",430,"isolationlife",0.000667707074775138,3979
"431",431,"balochistan",0.000408779701973419,2436
"432",432,"saturdaymorning",0.000688011813666264,4100
"433",433,"safehandschallenge",0.000407605047657404,2429
"434",434,"against",0.000407269432138542,2427
"435",435,"solidarity",0.000662505034232783,3948
"436",436,"italian",0.000406430393341388,2422
"437",437,"data",0.000690864545576588,4117
"438",438,"narendramodi",0.000731977446637133,4362
"439",439,"panicbuying",0.000656128339374413,3910
"440",440,"adhan",0.000402235199355618,2397
"441",441,"cuomo",0.000612330514162975,3649
"442",442,"socialdistancingnow",0.000643039334138811,3832
"443",443,"chinaliespeopledie",0.000679621425694724,4050
"444",444,"hiv",0.000522385555108068,3113
"445",445,"louisiana",0.000399214659685864,2379
"446",446,"ibuprofen",0.000397368774332125,2368
"447",447,"tuesdaymotivation",0.000677439924822124,4037
"448",448,"trumpplague",0.000701268626661297,4179
"449",449,"thread",0.000396697543294402,2364
"450",450,"hydroxycloroquine",0.00039619412001611,2361
"451",451,"indian",0.000539837562088871,3217
"452",452,"afp",0.000395187273459525,2355
"453",453,"sundaythoughts",0.000835347026446503,4978
"454",454,"clapforourcarers",0.00056484091824406,3366
"455",455,"vancouver",0.000530775943079608,3163
"456",456,"coronacrisisuk",0.000858672305007383,5117
"457",457,"coronaindia",0.00100147670828299,5968
"458",458,"besafe",0.000888374278426635,5294
"459",459,"coronavirusoubreak",0.000582125117465432,3469
"460",460,"granada",0.000389314001879447,2320
"461",461,"democrat",0.000513995167136528,3063
"462",462,"bigdata",0.000532789636192778,3175
"463",463,"anosmia",0.000388474963082293,2315
"464",464,"greennewdeal",0.000386796885487985,2305
"465",465,"republicans",0.000644046180695395,3838
"466",466,"torybrexit",0.000384111961337092,2289
"467",467,"memes",0.000718552825882669,4282
"468",468,"ontario",0.000569036112229829,3391
"469",469,"home",0.000756141763995167,4506
"470",470,"coronaviruske",0.000553094375083904,3296
"471",471,"homeschooling",0.000760336957980937,4531
"472",472,"kenya",0.000514162974895959,3064
"473",473,"bergamo",0.000377903074238153,2252
"474",474,"misinformation",0.000376560612162706,2244
"475",475,"telehealth",0.000648912605718888,3867
"476",476,"2019ncov",0.00063246744529467,3769
"477",477,"ramayana",0.000376224996643845,2242
"478",478,"retweet",0.000576755269163646,3437
"479",479,"covid19australia",0.000804134783192375,4792
"480",480,"research",0.000659316686803598,3929
"481",481,"fridaythoughts",0.000838535373875688,4997
"482",482,"tcot",0.000481943885085246,2872
